[  578.212942] motor_ctrl: Removing motor_ctrl module
[  581.318319] motor_ctrl: Inserting module...
[  581.428837] motor_ctrl: Inserting module successful.
[  601.449356]  Jitter 19990601 
[  601.449361]  Jitter 20004299 
[  601.449367]  Jitter 20000550 
[  601.449375]  Jitter 19998778 
[  601.449381]  Jitter 19996278 
[  601.449386]  Jitter 20005446 
[  601.449391]  Jitter 19998257 
[  601.449397]  Jitter 19999976 
[  601.449402]  Jitter 19996331 
[  601.449414]  Jitter 20003935 
[  601.449425]  Jitter 20001799 
[  601.449441]  Jitter 19998049 
[  601.449451]  Jitter 19996226 
[  601.449466]  Jitter 20003883 
[  601.449483]  Jitter 20000237 
[  601.449497]  Jitter 20005289 
[  601.449515]  Jitter 19990549 
[  601.449534]  Jitter 20005549 
[  601.449548]  Jitter 19997893 
[  601.449563]  Jitter 20000133 
[  601.449573]  Jitter 19996382 
[  601.449588]  Jitter 20003987 
[  601.449603]  Jitter 19999612 
[  601.449619]  Jitter 19999872 
[  601.449634]  Jitter 19996487 
[  601.449650]  Jitter 20003778 
[  601.449660]  Jitter 19999716 
[  601.449666]  Jitter 20000289 
[  601.449672]  Jitter 19996226 
[  601.449677]  Jitter 20000029 
[  601.449683]  Jitter 20004143 
[  601.449688]  Jitter 19999403 
[  601.449696]  Jitter 19996539 
[  601.449702]  Jitter 20003778 
[  601.449707]  Jitter 19999768 
[  601.449713]  Jitter 19999977 
[  601.449719]  Jitter 19996330 
[  601.449726]  Jitter 20003935 
[  601.449731]  Jitter 19999716 
[  601.449737]  Jitter 20000028 
[  601.449742]  Jitter 19998726 
[  601.449748]  Jitter 20003362 
[  601.449755]  Jitter 19998258 
[  601.449761]  Jitter 19999611 
[  601.449766]  Jitter 19996487 
[  601.449772]  Jitter 20004039 
[  601.449778]  Jitter 19999664 
[  601.449784]  Jitter 19999820 
[  601.449790]  Jitter 19996382 
[  601.449795]  Jitter 20005914 
[  601.449801]  Jitter 19997737 
[  601.449807]  Jitter 20000079 
[  601.449812]  Jitter 19996278 
[  601.449820]  Jitter 20003987 
[  601.449825]  Jitter 19996121 
[  601.449831]  Jitter 20003934 
[  601.449836]  Jitter 19996070 
[  601.449843]  Jitter 20003986 
[  601.449849]  Jitter 20000028 
[  601.449855]  Jitter 19999767 
[  601.449860]  Jitter 19996122 
[  601.449866]  Jitter 20004090 
[  601.449871]  Jitter 19999716 
[  601.449878]  Jitter 19999767 
[  601.449883]  Jitter 19996434 
[  601.449889]  Jitter 20004142 
[  601.449894]  Jitter 20003726 
[  601.449900]  Jitter 19997164 
[  601.449905]  Jitter 19995079 
[  601.449911]  Jitter 20004664 
[  601.449920]  Jitter 19998830 
[  601.449930]  Jitter 20000080 
[  601.449943]  Jitter 19996330 
[  601.449953]  Jitter 20004038 
[  601.449964]  Jitter 19999559 
[  601.449974]  Jitter 20000080 
[  601.449984]  Jitter 19996330 
[  601.449996]  Jitter 20003778 
[  601.450008]  Jitter 19999923 
[  601.450016]  Jitter 19996330 
[  601.450028]  Jitter 19999924 
[  601.450039]  Jitter 20004038 
[  601.450047]  Jitter 19999716 
[  601.450058]  Jitter 20000027 
[  601.450068]  Jitter 19996226 
[  601.450077]  Jitter 20003986 
[  601.450089]  Jitter 19999664 
[  601.450101]  Jitter 19999923 
[  601.450110]  Jitter 19996382 
[  601.450120]  Jitter 20004091 
[  601.450130]  Jitter 19999611 
[  601.450141]  Jitter 19998413 
[  601.450150]  Jitter 19998361 
[  601.450161]  Jitter 20005341 
[  601.450168]  Jitter 19998517 
[  601.450179]  Jitter 19999924 
[  601.450190]  Jitter 19995861 
[  601.450200]  Jitter 20004351 
[  601.450211]  Jitter 20002892 
[  601.450224]  Jitter 19998830 
[  601.450235]  Jitter 19993882 
[  601.450245]  Jitter 20003985 
[  601.450254]  Jitter 19999923 
[  601.450265]  Jitter 19999715 
[  601.450278]  Jitter 19996434 
[  601.450286]  Jitter 20004142 
[  601.450296]  Jitter 20000235 
[  601.450308]  Jitter 19999194 
[  601.450316]  Jitter 19996434 
[  601.450326]  Jitter 20003881 
[  601.450337]  Jitter 19999767 
[  601.450348]  Jitter 19999871 
[  601.450357]  Jitter 19996486 
[  601.450368]  Jitter 20003933 
[  601.450378]  Jitter 19999663 
[  601.450387]  Jitter 19999975 
[  601.450394]  Jitter 19996330 
[  601.450402]  Jitter 20010444 
[  601.450413]  Jitter 19993829 
[  601.450425]  Jitter 19999506 
[  601.450433]  Jitter 19996486 
[  601.450444]  Jitter 20003673 
[  601.450455]  Jitter 19999767 
[  601.450465]  Jitter 19999871 
[  601.450474]  Jitter 19996486 
[  601.450486]  Jitter 20003933 
[  601.450492]  Jitter 19999715 
[  601.450501]  Jitter 19999923 
[  601.450514]  Jitter 19996486 
[  601.450521]  Jitter 19999975 
[  601.450529]  Jitter 20003830 
[  601.450541]  Jitter 19999766 
[  601.450548]  Jitter 19996382 
[  601.450556]  Jitter 20003933 
[  601.450565]  Jitter 19999663 
[  601.450575]  Jitter 19999975 
[  601.450582]  Jitter 19996486 
[  601.450589]  Jitter 20003829 
[  601.450600]  Jitter 19999663 
[  601.450607]  Jitter 20000027 
[  601.450615]  Jitter 19996382 
[  601.450623]  Jitter 20003933 
[  601.450630]  Jitter 19997580 
[  601.450638]  Jitter 20004402 
[  601.450645]  Jitter 19994194 
[  601.450654]  Jitter 20004090 
[  601.450661]  Jitter 19999819 
[  601.450669]  Jitter 19999610 
[  601.450679]  Jitter 19996330 
[  601.450689]  Jitter 20005965 
[  601.450696]  Jitter 19997995 
[  601.450704]  Jitter 19999610 
[  601.450712]  Jitter 19996589 
[  601.450722]  Jitter 20003673 
[  601.450729]  Jitter 19996277 
[  601.450738]  Jitter 20003985 
[  601.450747]  Jitter 19996016 
[  601.450754]  Jitter 20003881 
[  601.450762]  Jitter 19999923 
[  601.450771]  Jitter 19999662 
[  601.450779]  Jitter 19996589 
[  601.450786]  Jitter 20003829 
[  601.450795]  Jitter 20000079 
[  601.450801]  Jitter 19999818 
[  601.450811]  Jitter 19996277 
[  601.450819]  Jitter 20003881 
[  601.450828]  Jitter 19999662 
[  601.450838]  Jitter 20000079 
[  601.450846]  Jitter 19998204 
[  601.450854]  Jitter 20003620 
[  601.450861]  Jitter 19998412 
[  601.450868]  Jitter 19999767 
[  601.450873]  Jitter 19996276 
[  601.450879]  Jitter 20003777 
[  601.450884]  Jitter 19999819 
[  601.450890]  Jitter 19999922 
[  601.450896]  Jitter 19996433 
[  601.450901]  Jitter 20003933 
[  601.450907]  Jitter 19999714 
[  601.450913]  Jitter 19996537 
[  601.450918]  Jitter 19999871 
[  601.450926]  Jitter 20003881 
[  601.450931]  Jitter 19999766 
[  601.450936]  Jitter 19999871 
[  601.450942]  Jitter 19996433 
[  601.450947]  Jitter 20004037 
[  601.450953]  Jitter 19999662 
[  601.450959]  Jitter 19999923 
[  601.450964]  Jitter 19996381 
[  601.450970]  Jitter 20003933 
[  601.450976]  Jitter 19999766 
[  601.450981]  Jitter 19999922 
[  601.450988]  Jitter 19996381 
[  601.450993]  Jitter 20002215 
[  601.451000]  Jitter 20003828 
[  601.451005]  Jitter 19997840 
[  601.451010]  Jitter 19996172 
[  601.451016]  Jitter 20003881 
[  601.451021]  Jitter 19999662 
[  601.451027]  Jitter 20002319 
[  601.451032]  Jitter 19994036 
[  601.451037]  Jitter 20004245 
[  601.451044]  Jitter 19999506 
[  601.451050]  Jitter 19999922 
[  601.451055]  Jitter 19996484 
[  601.451061]  Jitter 20004245 
[  601.451066]  Jitter 19999245 
[  601.451072]  Jitter 20000339 
[  601.451078]  Jitter 19996068 
[  601.451083]  Jitter 20003828 
[  601.451089]  Jitter 19999870 
[  601.451094]  Jitter 19999870 
[  601.451100]  Jitter 19996380 
[  601.451105]  Jitter 20004037 
[  601.451110]  Jitter 19999818 
[  601.451115]  Jitter 19999870 
[  601.451121]  Jitter 19996276 
[  601.451126]  Jitter 20003984 
[  601.451132]  Jitter 19999870 
[  601.451138]  Jitter 20003516 
[  601.451143]  Jitter 19992839 
[  601.451148]  Jitter 20004036 
[  601.451154]  Jitter 19999662 
[  601.451159]  Jitter 19999662 
[  601.451165]  Jitter 19996432 
[  601.451171]  Jitter 20003985 
[  601.451177]  Jitter 19999557 
